City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,ixtapa,20.7,-105.2,81.0,61,75,2.24,MX,1605197972
160,rehoboth,-23.32,17.08,91.8,11,95,9.64,NA,1605197972
161,kavaratti,10.57,72.64,82.85,69,21,7.63,IN,1605197972
162,kupang,-10.17,123.58,81.46,77,16,7.94,ID,1605197972
163,husavik,66.04,-17.34,30.2,80,90,2.24,IS,1605197973
164,barranca,-10.75,-77.77,69.17,67,80,10.65,PE,1605197973
165,punta alta,-38.88,-62.07,79.54,43,59,4.41,AR,1605197973
166,tiksi,71.69,128.87,2.88,93,96,1.34,RU,1605197973
167,gizo,-8.1,156.84,82.31,74,53,7.92,SB,1605197973
168,davila,18.47,120.58,77.0,94,90,10.29,PH,1605197973
169,thompson,55.74,-97.86,-14.8,83,20,2.24,CA,1605197973
170,provideniya,64.38,-173.3,28.99,97,100,9.17,RU,1605197974
171,hecun,36.53,114.11,54.84,44,0,7.72,CN,1605197974
172,grandview,38.89,-94.53,51.01,59,20,9.17,US,1605197974
173,saint anthony,45.02,-93.22,30.99,68,90,6.93,US,1605197749
174,butaritari,3.07,172.79,80.92,75,100,11.16,KI,1605197974
175,edgewater,28.99,-80.9,78.8,88,75,13.87,US,1605197974
176,moskovskiy,55.6,37.35,36.0,97,75,6.71,RU,1605197975
177,alyangula,-13.85,136.42,84.2,74,90,9.17,AU,1605197975
178,norwich,52.63,1.3,51.8,71,20,10.29,GB,1605197711
179,batticaloa,7.71,81.69,81.99,82,100,11.95,LK,1605197975
180,saldanha,-33.01,17.94,91.4,19,25,10.29,ZA,1605197975
181,esperance,-33.87,121.9,55.4,82,76,8.05,AU,1605197975
182,guerrero negro,27.98,-114.06,65.46,54,16,1.41,MX,1605197976
183,naze,28.37,129.48,69.8,60,20,12.75,JP,1605197976
184,ask,60.07,11.03,42.01,93,75,4.7,NO,1605197976
185,kahului,20.89,-156.47,72.0,78,1,10.29,US,1605197976
186,ozinki,51.18,49.68,27.36,93,81,9.75,RU,1605197977
187,rafraf,37.19,10.18,71.6,64,20,4.7,TN,1605197956
188,hambantota,6.12,81.12,78.8,100,75,2.24,LK,1605197977
189,liverpool,53.41,-2.98,53.6,76,75,12.75,GB,1605197977
190,coos bay,43.37,-124.22,39.99,100,1,9.17,US,1605197977
191,mar del plata,-38.0,-57.56,69.8,68,40,17.22,AR,1605197880
192,akdagmadeni,39.66,35.88,39.31,71,0,1.19,TR,1605197978
193,chapais,49.78,-74.85,30.2,80,90,6.93,CA,1605197978
194,mahibadhoo,3.78,72.97,83.37,71,35,5.59,MV,1605197978
195,mareeba,-17.0,145.43,71.6,83,65,2.21,AU,1605197978
196,yerbogachen,61.28,108.01,22.84,95,74,11.56,RU,1605197979
197,tabou,4.42,-7.35,82.2,75,98,6.29,CI,1605197979
198,vardo,70.37,31.11,35.6,93,75,44.96,NO,1605197979
199,oistins,13.07,-59.53,86.0,74,40,17.22,BB,1605197979
200,sorong,-0.88,131.25,79.0,82,98,5.79,ID,1605197886
201,anloga,5.79,0.9,87.8,58,20,2.24,GH,1605197979
202,nabire,-3.37,135.48,74.8,88,100,4.21,ID,1605197979
203,luderitz,-26.65,15.16,69.04,52,0,7.05,NA,1605197979
204,iqaluit,63.75,-68.51,8.6,65,75,3.36,CA,1605197980
205,harper,4.38,-7.72,81.32,79,79,6.4,LR,1605197980
206,chunoyar,57.45,97.32,22.37,96,41,2.91,RU,1605197980
207,martapura,-3.42,114.85,78.8,94,7,2.24,ID,1605197980
208,nantucket,41.28,-70.1,62.6,93,90,3.36,US,1605197980
209,lebu,-37.62,-73.65,59.4,65,100,13.04,CL,1605197981
210,timmins,48.47,-81.33,41.0,65,20,6.93,CA,1605197948
211,skibbereen,51.55,-9.27,50.0,100,75,23.04,IE,1605197981
212,saint george,37.1,-113.58,39.2,60,1,3.15,US,1605197694
213,zhigansk,66.77,123.37,5.63,94,100,11.43,RU,1605197981
214,westport,41.14,-73.36,53.6,71,90,11.9,US,1605197981
215,maravilha,-26.76,-53.17,79.0,57,0,4.94,BR,1605197981
216,jurm,36.86,70.83,46.8,51,89,3.62,AF,1605197982
217,siniscola,40.57,9.69,64.4,55,0,4.7,IT,1605197982
218,burns lake,54.23,-125.75,28.4,86,100,2.24,CA,1605197982
219,calatayud,41.35,-1.64,59.0,93,100,4.7,ES,1605197982
220,ust-kut,56.79,105.77,31.64,97,100,5.21,RU,1605197982
221,les escoumins,48.11,-69.02,42.8,64,89,16.11,CA,1605197983
222,aklavik,68.22,-135.01,3.2,91,90,5.82,CA,1605197983
223,faanui,-16.48,-151.75,78.64,76,62,9.35,PF,1605197983
224,ponta delgada,37.73,-25.67,62.6,67,40,11.41,PT,1605197983
225,los llanos de aridane,28.66,-17.92,73.4,78,75,2.24,ES,1605197983
226,mikkeli,61.69,27.27,41.0,100,90,2.24,FI,1605197983
